timestamp,open,high,low,close
2025-03-04,248.75,255.48,248.1,253.21
2025-07-28,260.3,264.0,259.61,263.21
2025-07-25,260.02,260.8,256.35,259.72
2025-07-24,261.25,262.0486,252.75,260.51
2025-07-23,284.3,288.08,281.44,282.01
2025-07-22,284.74,284.88,281.25,281.96
2025-07-21,286.29,287.73,284.38,284.71
2025-07-18,283.38,287.16,282.22,285.87
2025-07-17,281.5,283.4566,280.9,282.0
2025-07-16,282.75,283.87,279.87,281.92
2025-07-15,283.77,284.155,280.7301,282.7
2025-07-14,282.83,284.925,281.71,283.79
2025-07-11,285.01,287.43,282.92,283.59
2025-07-10,288.9,288.9,282.21,287.43
2025-07-09,291.39,291.6,288.63,290.14
2025-07-08,293.1,295.61,289.49,290.42
2025-07-07,292.5,295.2199,290.3607,292.47
2025-07-03,287.94,292.32,287.9,291.97
2025-07-02,290.0,290.19,286.9,287.65
2025-07-01,294.55,295.1081,290.08,291.2
2025-06-30,290.93,294.81,290.0,294.78
2025-06-27,292.97,293.12,288.52,289.7
2025-06-26,291.8,292.91,290.165,291.93
2025-06-25,294.49,296.16,289.5,291.06
2025-06-24,290.46,294.3399,288.41,293.79
2025-06-23,281.65,289.58,280.21,289.18
2025-06-20,279.28,284.12,277.2,280.97
2025-06-18,285.0,286.91,282.94,283.21
2025-06-17,281.15,284.7899,281.0001,283.05
2025-06-16,279.305,284.5,278.6657,281.83
2025-06-13,278.205,279.84,275.83,277.22
2025-06-12,281.53,283.06,279.83,281.03
2025-06-11,276.7,281.75,275.11,281.52
2025-06-10,273.19,277.47,272.56,276.24
2025-06-09,268.1,273.47,266.71,272.08
2025-06-06,267.99,270.17,267.53,268.87
2025-06-05,265.2,267.51,265.1,266.86
2025-06-04,264.9,267.0,264.79,265.52
2025-06-03,263.35,265.56,262.58,265.2
2025-06-02,257.85,263.976,257.22,263.9
2025-05-30,258.75,260.12,257.1,259.06
2025-05-29,260.75,261.13,256.77,258.69
2025-05-28,263.16,265.0,259.94,260.24
2025-05-27,261.0,263.7869,259.63,263.23
2025-05-23,258.58,259.8696,255.79,258.63
2025-05-22,260.77,261.2711,257.91,258.37
2025-05-21,264.97,265.6499,260.41,260.87
2025-05-20,267.4,269.28,265.6201,266.95
2025-05-19,265.45,269.135,265.08,268.41
2025-05-16,266.35,267.98,264.59,266.76
2025-05-15,259.01,267.43,258.61,266.68
2025-05-14,257.6,260.55,256.22,257.82
2025-05-13,254.43,259.58,252.88,258.59
2025-05-12,252.5,253.81,244.65,253.69
2025-05-09,252.51,253.0,247.64,249.2
2025-05-08,255.0,256.52,253.25,254.14
2025-05-07,249.45,254.47,248.832,253.37
2025-05-06,247.76,250.19,246.11,249.12
2025-05-05,243.74,249.8,243.64,249.18
2025-05-02,243.125,245.69,241.33,245.55
2025-05-01,241.44,242.37,237.945,239.66
2025-04-30,236.73,242.47,234.3401,241.82
2025-04-29,237.0,239.98,236.14,239.39
2025-04-28,232.86,236.63,232.07,236.16
2025-04-25,228.95,233.36,226.32,232.41
2025-04-24,231.175,232.78,224.4401,229.33
2025-04-23,246.0,249.34,243.66,245.48
2025-04-22,238.5,242.64,238.02,240.9
2025-04-21,238.065,240.805,232.93,236.22
2025-04-17,239.68,241.775,237.4,238.81
2025-04-16,240.28,243.2999,235.89,238.57
2025-04-15,239.55,241.53,238.27,240.7
2025-04-14,239.77,241.77,236.73,239.06
2025-04-11,229.72,237.58,227.51,235.48
2025-04-10,231.0,232.57,222.02,229.55
2025-04-09,217.12,236.3,215.1636,235.31
2025-04-08,232.56,233.05,217.28,221.03
2025-04-07,219.24,232.29,214.5,225.78
2025-04-04,238.0,240.16,226.88,227.48
2025-04-03,242.71,250.61,242.53,243.49
2025-04-02,248.22,252.79,247.23,249.98
2025-04-01,248.03,250.62,243.49,250.34
2025-03-31,242.74,250.89,242.49,248.66
2025-03-28,246.27,247.57,242.07,244.0
2025-03-27,249.71,250.3,245.725,246.21
2025-03-26,251.25,254.32,249.53,250.34
2025-03-25,248.36,250.9,248.2,249.9
2025-03-24,247.31,248.82,245.965,248.45
2025-03-21,241.69,245.205,238.5,243.87
2025-03-20,244.24,246.8,237.224,243.32
2025-03-19,248.33,253.66,246.64,252.29
2025-03-18,252.51,252.57,245.12,246.95
2025-03-17,249.25,254.63,249.0,252.97
2025-03-14,242.745,248.9499,241.68,248.35
2025-03-13,248.8,249.27,243.04,245.8
2025-03-12,250.35,253.127296,245.53,249.63
2025-03-11,255.99,256.7,245.86,248.95
2025-03-10,261.56,266.45,254.75,256.9
2025-03-07,245.95,261.96,245.1823,261.54
2025-03-06,249.75,252.1,246.8019,248.69
2025-03-05,251.58,252.74,247.0146,251.35
